SO Name,NESLI2 Maney history and humanities 2012_2012,,,,,,,,,,,,,,,,,,,,,,
SO Identifier,maney_history and humanities_2012_2012_Nesli2,,,,,,,,,,,,,,,,,,,,,,
Provider,Maney Publishing,,,,,,,,,,,,,,,,,,,,,,
Package Identifier,History and Humanities,,,,,,,,,,,,,,,,,,,,,,
Package Name,History and Humanities,,,,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,3,,,,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Ming Studies,0147-037X,1759-7595,1975,1,Fall,,,,mng,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/mng,Ingenta Connect ,administrative,,Highwire,administrative,
Names:  A Journal of Onomastics,0027-7738,1756-2279,2008,56,1,,,,nam,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/nam,Ingenta Connect ,administrative,,Highwire,administrative,
Northern History,0078-172X,1745-8706,1966,1,,,,,nhi,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/nhi,Ingenta Connect ,administrative,,Highwire,administrative,
Oxford German Studies,0078-7191,1745-9214,1966,1,,,,,ogs,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/ogs,Ingenta Connect ,administrative,,Highwire,administrative,
Palestine Exploration Quarterly,0031-0328,1743-1301,2004,136,1,,,,peq,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/peq,Ingenta Connect ,administrative,,Highwire,administrative,
Post-Medieval Archaeology,0079-4236,1745-8137,2005,39,1,,,,pma,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/pma,Ingenta Connect ,administrative,,Highwire,administrative,
Public Archaeology,1465-5187,1753-5530,2000,,1,,,,pua,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/pua,Ingenta Connect ,administrative,,Highwire,administrative,
Publications of the English Goethe Society,0959-3683,1749-6284,2006,75,1,,,,peg,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/peg,Ingenta Connect ,administrative,,Highwire,administrative,
Romance Studies,0263-9904,1745-8153,1982,1,1,,,,ros,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/ros,Ingenta Connect ,administrative,,Highwire,administrative,
Seventeenth-Century French Studies,0265-1068,1752-2692,1979,1,,,,,c17,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/c17,Ingenta Connect ,administrative,,Highwire,administrative,
Slavonica ,1361-7427,1745-8145,1994,1,,,,,sla,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/sla,Ingenta Connect ,administrative,,Highwire,administrative,
Studies in Conservation,0039-3630,2047-0584,2000,56,3,,,,sic,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/sic,Ingenta Connect ,administrative,,Highwire,administrative,
Survey Review,0039-6265,1752-2706,1931,1,1,,,,sre,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/sre,Ingenta Connect ,administrative,,Highwire,administrative,
T'ang Studies,0737-5034,1759-7633,1982,1982,1,,,,tang,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/tang,Ingenta Connect ,administrative,,Highwire,administrative,
Tel Aviv:  Journal of the Institute of Archaeology of Tel Aviv University,0334-4355,2040-4786,1974,1,1,,,,tav,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/tav,Ingenta Connect ,administrative,,Highwire,administrative,
Terrae Incognitae,0082-2884,2040-8706,1969,1,1,,,,tin,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/tin,Ingenta Connect ,administrative,,Highwire,administrative,
Textile History,0040-4969,1743-2952,1968,,1,,,,tex,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/tex,Ingenta Connect ,administrative,,Highwire,administrative,
The Cartographic Journal,0008-7041,1743-2774,1964,1,1,,,,caj,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/caj,Ingenta Connect ,administrative,,Highwire,administrative,
The Chinese Historical Review,1547-402X,2048-7827,2012,14,1,,,,,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/tcr,Ingenta Connect ,administrative,,Highwire,administrative,
The Historic Environment: Policy & Practice,1756-7505,1756-7513,2010,1,1,,,,hen,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/hen,Ingenta Connect ,administrative,,Highwire,administrative,
The International Journal for the History of Engineering & Technology ,1758-1206,1758-1214,2006,79,1,,,,het,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/het,Ingenta Connect ,administrative,,Highwire,administrative,
The Italianist,0261-4340,1748-619X,1981,1,1,,,,ita,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/ita,Ingenta Connect ,administrative,,Highwire,administrative,
The Keats-Shelley Review,0952-4142,2042-1362,1987,24,1,,,,ksr,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/ksr,Ingenta Connect ,administrative,,Highwire,administrative,
The London Journal:  A Review of Metropolitan Society Past and Present,0305-8034,1749-6322,1975,1,1,,,,ldn,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/ldn,Ingenta Connect ,administrative,,Highwire,administrative,
Twentieth-Century China,1521-5385,1940-5065,1994,,1,,,,tcc,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/tcc,Ingenta Connect ,administrative,,Highwire,administrative,
Usus Antiquior,1757-8949,2041-0999,2010,1,1,,,,usu,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/usu,Ingenta Connect ,administrative,,Highwire,administrative,
Vernacular Architecture,0305-5477,1749-6292,1970,1,,,,,vea,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/vea,Ingenta Connect ,administrative,,Highwire,administrative,
War & Society,0729-2473,2042-4345,1983,1,1,,,,war,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/war,Ingenta Connect ,administrative,,Highwire,administrative,
Yorkshire Archaelogical Journal,0084-4276,2045-0664,2010,82,,,,,yaj,,Full Text,,Maney Publishing,,Ingenta Connect,host,http://www.ingentaconnect.com/content/maney/yaj,Ingenta Connect ,administrative,,Highwire,administrative,
