SO Name,SHEDL Project Muse Social Science collection 2012-2013,,,,,,,,,,,,,,,,,,,
SO Identifier,project muse_socialscience collection_2012-2013_shedl,,,,,,,,,,,,,,,,,,,
Provider,Project Muse ,,,,,,,,,,,,,,,,,,,
Package Identifier,Social Science collection,,,,,,,,,,,,,,,,,,,
Package Name,Social Science collection,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2013,,,,,,,,,,,,,,,,,,,
Consortium,SHEDL,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Human Rights Quarterly,0275-0392,1085-794X,1995,17,1,,,,,,,,The Johns Hopkins University Press,,Project Muse ,host,http://muse.jhu.edu/journals/human_rights_quarterly,Project Muse ,administrative,
Indiana Journal of Global Legal Studies,1080-0727,1543-0367,2003,10,1,,,,,,,,Indiana University Press,,Project Muse ,host,http://muse.jhu.edu/journals/indiana_journal_of_global_legal_studies,Project Muse ,administrative,
"Innovations: Technology, Governance, Globalization",1558-2477,1558-2485,,,,,,,,,,,The MIT Press,,Project Muse ,host,http://muse.jhu.edu/journals/innovations,Project Muse ,administrative,
International Security,0162-2889,1531-4804,1976,1,1,,,,,,,,The MIT Press,,Project Muse ,host,http://muse.jhu.edu/journals/international_security,Project Muse ,administrative,
Israel Studies,1084-9513,1527-201x,1996,1,1,,,,,,,,Indiana University Press,,Project Muse ,host,http://muse.jhu.edu/journals/israel_studies,Project Muse ,administrative,
Journal for the Study of Radicalism,1930-1189,1930-1197,2007,1,1,,,,,,,,Michigan State University Press,,Project Muse ,host,http://muse.jhu.edu/journals/journal_for_the_study_of_radicalism,Project Muse ,administrative,
Journal of Chinese Overseas,1793-0391,1793-2548,2005,1,1,,2008,,,,,,NUS Press Pte Ltd,,Project Muse ,host,http://muse.jhu.edu/journals/journal_of_chinese_overseas,Project Muse ,administrative,
Journal of Cold War Studies,1520-3972,1531-3298,1999,1,1,,,,,,,,The MIT Press,,Project Muse ,host,http://muse.jhu.edu/journals/journal_of_cold_war_studies,Project Muse ,administrative,
Journal of Colonialism and Colonial History,,1532-5768,2000,1,1,,,,,,,,The Johns Hopkins University Press,,Project Muse ,host,http://muse.jhu.edu/journals/journal_of_colonialism_and_colonial_history,Project Muse ,administrative,
Journal of Democracy,1045-5736,1086-3214,1990,1,1,,,,,,,,The Johns Hopkins University Press,,Project Muse ,host,http://muse.jhu.edu/journals/journal_of_democracy,Project Muse ,administrative,
The Journal of Developing Areas,0022-037X,1548-2278,2003,37,1,,,,,,,,Tennessee State University College of Business,,Project Muse ,host,http://muse.jhu.edu/journals/journal_of_developing_areas,Project Muse ,administrative,
Journal of Education Finance,0098-9495,1944-6470,2009,35,1,,,,,,,,University of Illinois Press,,Project Muse ,host,http://muse.jhu.edu/journals/journal_of_education_finance,Project Muse ,administrative,
Journal of Health Care for the Poor and Underserved,1049-2089,1548-6869,1990,1,1,,,,,,,,The Johns Hopkins University Press,,Project Muse ,host,http://muse.jhu.edu/journals/journal_of_health_care_for_the_poor_and_underserved,Project Muse ,administrative,
The Journal of Higher Education,0022-1546,1538-4640,2002,73,1,,,,,,,,The Ohio State University Press,,Project Muse ,host,http://muse.jhu.edu/journals/journal_of_higher_education,Project Muse ,administrative,
Journal of Human Resources,0022-166X,1548-8004,2012,47,1,,,,,,,,University of Wisconsin Press,,Project Muse ,host,http://muse.jhu.edu/journals/journal_of_human_resources,Project Muse ,administrative,
The Journal of Japanese Studies,0095-6848,1549-4721,2004,30,1,,,,,,,,Society for Japanese Studies,,Project Muse ,host,http://muse.jhu.edu/journals/journal_of_japanese_studies,Project Muse ,administrative,
Journal of Latin American Geography,1545-2476,1548-5811,2002,1,1,,,,,,,,Conference of Latin Americanist Geographers,,Project Muse ,host,http://muse.jhu.edu/journals/journal_of_latin_american_geography,Project Muse ,administrative,
Journal of Literature and Trauma Studies,2162-3627,,,,,,,,,,,,University of Nebraska Press,,Project Muse ,host,http://muse.jhu.edu/journals/journal_of_literature_and_trauma_studies,Project Muse ,administrative,
Journal of Middle East Women's Studies,1552-5864,1558-9579,2005,1,1,,,,,,,,Indiana University Press,,Project Muse ,host,http://muse.jhu.edu/journals/journal_of_middle_east_womens_studies,Project Muse ,administrative,
The Journal of Military History,0899-3718,1543-7795,2003,67,1,,,,,,,,Society for Military History,,Project Muse ,host,http://muse.jhu.edu/journals/journal_of_military_history,Project Muse ,administrative,
Journal of Policy History,0898-0306,1528-4190,2000,12,1,,,,,,,,Cambridge University Press,,Project Muse ,host,http://muse.jhu.edu/journals/journal_of_policy_history,Project Muse ,administrative,
Journal of Social History,0022-4529,1527-1897,1999,33,1,,,,,,,,Oxford University Press,,Project Muse ,host,http://muse.jhu.edu/journals/journal_of_social_history,Project Muse ,administrative,
Journal of the History of Medicine and Allied Sciences,0022-5045,1468-4373,2000,55,1,,,,,,,,Oxford University Press,,Project Muse ,host,http://muse.jhu.edu/journals/journal_of_the_history_of_medicine_and_allied_sciences,Project Muse ,administrative,
Journal of Women's History,1042-7961,1527-2036,1989,1,1,,,,,,,,The Johns Hopkins University Press,,Project Muse ,host,http://muse.jhu.edu/journals/journal_of_womens_history,Project Muse ,administrative,
Journal of World History,1045-6007,1527-8050,1996,7,1,,,,,,,,University of Hawai'i Press,,Project Muse ,host,http://muse.jhu.edu/journals/journal_of_world_history,Project Muse ,administrative,
Kennedy Institute of Ethics Journal,1054-6863,1086-3249,1991,1,1,,,,,,,,The Johns Hopkins University Press,,Project Muse ,host,http://muse.jhu.edu/journals/kennedy_institute_of_ethics_journal,Project Muse ,administrative,
Korean Studies,0145-840X,1529-1529,1977,1,,,,,,,,,University of Hawai'i Press,,Project Muse ,host,http://muse.jhu.edu/journals/korean_studies,Project Muse ,administrative,
Labour / Le Travail,0700-3862,1911-4842,2010,66,,,,,,,,,The Canadian Committee on Labour History,,Project Muse ,host,http://muse.jhu.edu/journals/labour_le_travail,Project Muse ,administrative,
