SO Name,NESLI2 Karger Full Collection 2012_2012,,,,,,,,,,,,,,,,,,,
SO Identifier,karger_colection_2012_2012_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,S. Karger AG,,,,,,,,,,,,,,,,,,,
Package Identifier,Karger Full Collection,,,,,,,,,,,,,,,,,,,
Package Name,Karger Full Collection,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,1,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Obesity Facts,1662-4025,1662-4033,2008,1,1,,,,1662-4033,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1662-4033,,,
Oncology,0030-2414,1423-0232,1998,55,1,,,,1423-0232,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0232,,,
Onkologie,0378-584X,1423-0240,1998,21,1,,,,1423-0240,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0240,,,
Ophthalmic Research,0030-3747,1423-0259,1998,30,1,,,,1423-0259,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0259,,,
Ophthalmologica,0030-3755,1423-0267,1998,212,1,,,,1423-0267,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0267,,,
ORL,0301-1569,1423-0275,1998,60,,,,,1423-0275,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0275,,,
Oto-Rhino-Laryngologia Nova ,1014-8221,1423-0283,1991,1,1,2002/2003,12,6,1423-0283,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0283,,,
Pancreatology ,1424-3903,1424-3911,2001,1,1,2011,11,,1424-3911,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1424-3911,,,
Pathobiology,1015-2008,1423-0291,1998,66,1,,,,1423-0291,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0291,,,
Pathophysiology of Haemostasis & Thrombosis,1424-8832,1424-8840,2002,32,1,2009/2010,37,02-Apr,1424-8840,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1424-8840,,,
Pediatric Neurosurgery,1016-2291,1423-0305,1998,28,1,,,,1423-0305,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0305,,,
Pharmacology,0031-7012,1423-0313,1998,56,1,,,,1423-0313,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0313,,,
Phonetica,0031-8388,1423-0321,1998,55,01-Feb,,,,1423-0321,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0321,,,
Psychopathology,0254-4962,1423-033X,1998,31,1,,,,1423-033X,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-033X,,,
Psychotherapy and Psychosomatics,0033-3190,1423-0348,1998,67,1,,,,1423-0348,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0348,,,
Public Health Genomics ,1662-4246,1662-8063,2009,12,1,,,,1662-8063,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1662-8063,,,
Respiration,0025-7931,1423-0356,1998,65,1,,,,1423-0356,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0356,,,
Schweizerische Zeitschrift für Ganzheitsmedizin /Swiss Journal of Integrative Medicine,1015-0684,1663-7607,2004,16,3,,,,1663-7607,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1663-7607,,,
Sexual Development ,1661-5425,1661-5433,2007,1,1,,,,1661-5433,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1661-5433,,,
Skin Pharmacology and Applied Skin Physiology,1422-2868,1422-2906,1998,11,1,2003,16,6,1422-2906,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1422-2906,,,
Skin Pharmacology and Physiology ,1660-5527,1660-5535,2004,17,1,,,,1660-5535,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1660-5535,,,
Stereotactic and Functional Neurosurgery,1011-6125,1423-0372,1998,70,1,,,,1423-0372,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0372,,,
Transfusion Medicine and Hemotherapy,1660-3796,1660-3818,2003,30,1,,,,1660-3818,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1660-3818,,,
Tumor Biology,1010-4283,1423-0380,1998,19,1,2009,30,05-Jun,1423-0380,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0380,,,
Urologia Internationalis,0042-1138,1423-0399,1998,60,1,,,,1423-0399,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0399,,,
Verhaltenstherapie,1016-6262,1423-0402,1998,8,1,,,,1423-0402,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0402,,,
Viszeralmedizin / Gastrointestinal medicine and surgery,1662-6664,1662-6672,2009,25,1,,,,1662-6672,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1662-6672,,,
Vox Sanguinis ,0042-9007,1423-0410,1998,74,1,2000,79,4,1423-0410,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0410,,,
Case Reports in Dermatology,,1662-6567,2009,1,1,,,,1662-6567,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1662-6567,,,
Case Reports in Gastroenterology,,1662-0631,2007,1,1,,,,1662-0631,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1662-0631,,,
Case Reports in Nephrology and Urology ,,1664-5510,2011,1,1,,,,1664-5510,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1664-5510,,,
Case Reports in Neurology,,1662-680X,2009,1,1,,,,1662-680X,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1662-680X,,,
Case Reports in Oncology,,1662-6575,2008,1,1,,,,1662-6575,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1662-6575,,,
Case Reports in Ophthalmology,,1663-2699,2010,1,1,,,,1663-2699,,fulltext,,S. Karger AG,,KARGER,host,http://content.karger.com/ProdukteDB/produkte.asp?issn=1663-2699,,,
