SO Name,NESLI2 Springer Option 1 Closed Consortium Agreement 2011_2012,,,,,,,,,,,,,,,,,,,
SO Identifier,springer_option1closed consortium agreement_2011_2012_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,Springer ,,,,,,,,,,,,,,,,,,,
Package Identifier,Option 1 Closed Consortium Agreement,,,,,,,,,,,,,,,,,,,
Package Name,Option 1 Closed Consortium Agreement,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2011,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Annals of Finance,1614-2446,1614-2454,2005,1,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/1614-2446,Springer Link,administrative,
Annals of Forest Science,1286-4560,1297-966X,2007,64,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/1286-4560/,Springer Link,administrative,
Annals of Global Analysis and Geometry,0232-704X,1572-9060,1997,15,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0232-704X,Springer Link,administrative,
Annals of Hematology,0939-5555,1432-0584,1997,74,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0939-5555,Springer Link,administrative,
Annals of the Institute of Statistical Mathematics,0020-3157,1572-9052,1997,49,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0020-3157,Springer Link,administrative,
Annals of Mathematics and Artificial Intelligence,1012-2443,1573-7470,1997,19,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/1012-2443,Springer Link,administrative,
Annals of Microbiology,1590-4261,1869-2044,2006,56,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/1590-4261,Springer Link,administrative,
Annals of Nuclear Medicine,0914-7187,1864-6433,1997,11,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0914-7187,Springer Link,administrative,
Annals of Operations Research,0254-5330,1572-9338,1997,69,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0254-5330,Springer Link,administrative,
The Annals of Regional Science,0570-1864,1432-0592,1997,31,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0570-1864,Springer Link,administrative,
Annals of Solid and Structural Mechanics,1867-6936,1867-6944,2010,1,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/1867-6936,Springer Link,administrative,
Annals of Surgical Oncology,1068-9265,1534-4681,1997,4,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/1068-9265,Springer Link,administrative,
Annals of Telecommunications,0003-4347,1958-9395,1997,52,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0003-4347,Springer Link,administrative,
Antonie van Leeuwenhoek,0003-6072,1572-9699,1997,71,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0003-6072,Springer Link,administrative,
Apidologie,0044-8435,1297-9678,2007,38,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0044-8435/,Springer Link,administrative,
Apoptosis,1360-8185,1573-675X,1997,2,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/1360-8185,Springer Link,administrative,
"Applicable Algebra in Engineering, Communication and Computing",0938-1279,1432-0622,1997,8,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0938-1279,Springer Link,administrative,
Applications of Mathematics,0862-7940,1572-9109,1997,42,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0862-7940,Springer Link,administrative,
Applied Biochemistry and Biotechnology,0273-2289,1599-0291,1997,62,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0273-2289,Springer Link,administrative,
