SO Name,NESLI2 OUP Journals Collections 2012-2013,,,,,,,,,,,,,,,,,,,,,,
SO Identifier,oup_collection_2012_2013_nesli2,,,,,,,,,,,,,,,,,,,,,,
Provider,OUP,,,,,,,,,,,,,,,,,,,,,,
Package Identifier,Full Oxford Journals Collection ,,,,,,,,,,,,,,,,,,,,,,
Package Name,Full Oxford Journals Collection ,,,,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2013,,,,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,3,,,,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
ICES Journal of Marine Science,1054-3139 ,1095-9289 ,01/07/1903,,,,,,icesjms,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford Journals,host,http://icesjms.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
IMA Journal of Applied Mathematics,0272-4960 ,1464-3634 ,01/03/1965,,,,,,imamat,,full text,,Oxford University Press ,,Oxford Journals,host,http://imamat.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
IMA Journal of Management Mathematics,1471-678X ,1471-6798 ,01/01/1986,,,,,,imaman,,full text,,Oxford University Press ,,Oxford Journals,host,http://imaman.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
IMA Journal of Mathematical Control and Information,0265-0754 ,1471-6887 ,01/01/1984,,,,,,imamci,,full text,,Oxford University Press ,,Oxford Journals,host,http://imamci.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
IMA Journal of Numerical Analysis,0272-4979 ,1464-3642 ,01/01/1981,,,,,,imajna,,full text,,Oxford University Press ,,Oxford Journals,host,http://imajna.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Industrial and Corporate Change,0960-6491 ,1464-3650 ,01/01/1992,,,,,,icc,,full text,,Oxford University Press ,,Oxford Journals,host,http://icc.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Industrial Law Journal,0305-9332 ,1464-3669 ,01/01/1972,,,,,,ilj,,full text,,Oxford University Press ,,Oxford Journals,host,http://ilj.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
InnovAiT,1755-7380 ,1755-7399 ,01/01/2008,,,,,,rcgp-innovait,,full text,free back issues after 36 months ,Oxford University Press ,,Oxford Journals,host,http://rcgp-innovait.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Integrative and Comparative Biology,1540-7063 ,1557-7023 ,01/02/1961,,,,,,icb,,full text,"free back issues after 12 months back to Jan 01, 1996",Oxford University Press ,,Oxford Journals,host,http://icb.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
Interdisciplinary Studies in Literature and Environment,1076-0962 ,1759-1090 ,01/04/1993,,,,,,isle,,full text,,Oxford University Press ,,Oxford Journals,host,http://isle.oxfordjournals.org ,Highwire,administrative,,Oxford Journals,administrative,
