SO Name,NESLI2 OUP Social Sciences Collection 2012-2013,,,,,,,,,,,,,,,,,,,,,,
SO Identifier,oup_socieal sciences collection_2012_2013_nesli2,,,,,,,,,,,,,,,,,,,,,,
Provider,OUP,,,,,,,,,,,,,,,,,,,,,,
Package Identifier,Social Sciences Collection ,,,,,,,,,,,,,,,,,,,,,,
Package Name,Social Sciences Collection ,,,,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2012,,,,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2013,,,,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,3,,,,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Social Work Research,1070-5309,1545-6838  ,01/01/1997,,,,,,swr,,full text,,Oxford University Press ,,Oxford journals,host,http://swr.oxfordjournals.org/,Highwire,administrative,,Oxford journals,administrative,
Socio-Economic Review,1475-1461 ,1475-147X ,01/01/2003,,,,,,ser,,full text,,Oxford University Press ,,Oxford journals,host,http://ser.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Sociology of Religion,1069-4404 ,1759-8818 ,01/03/1964,,,,,,socrel,,full text,,Oxford University Press ,,Oxford journals,host,http://socrel.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
The British Journal of Criminology,0007-0955 ,1464-3529 ,01/07/1960,,,,,,bjc,,full text,,Oxford University Press ,,Oxford journals,host,http://bjc.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
The British Journal of Social Work,0045-3102 ,1468-263X ,01/01/1971,,,,,,bjsw,,full text,,Oxford University Press ,,Oxford journals,host,http://bjsw.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
The Chinese Journal of International Politics,1750-8916 ,1750-8924 ,01/01/2006,,,,,,cjip,,full text,,Oxford University Press ,,Oxford journals,host,http://cjip.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
The Quarterly Journal of Economics, 0033-5533,1531-4650 ,01/10/1886,,,,,,qje,,full text,,Oxford University Press ,,Oxford journals,host,http://qje.oxfordjournals.org/,Highwire,administrative,,Oxford journals,administrative,
The Review of Financial Studies,0893-9454 ,1465-7368 ,01/01/1988,,,,,,rfs,,full text,,Oxford University Press ,,Oxford journals,host,http://rfs.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
The World Bank Economic Review,0258-6770 ,1564-698X ,01/09/1986,,,,,,wber,,full text,,Oxford University Press ,,Oxford journals,host,http://wber.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
The World Bank Research Observer,0257-3032 ,1564-6971 ,01/01/1986,,,,,,wbro,,full text,,Oxford University Press ,,Oxford journals,host,http://wbro.oxfordjournals.org ,Highwire,administrative,,Oxford journals,administrative,
Review of Corporate Finance Studies ,2046-9128,2046-9136,01/01/2012,,,,,,,,full text,,Oxford University Press ,,Oxford journals,host,http://rcfs.oxfordjournals.org/,Highwire,administrative,,Oxford journals,administrative,
