consortia_id,member_jc_id,link_type
NESLi2,735,consortium
NESLi2,343,consortium
NESLi2,344,consortium
NESLi2,345,consortium
NESLi2,346,consortium
NESLi2,347,consortium
NESLi2,348,consortium
NESLi2,868,consortium
NESLi2,548,consortium
NESLi2,660,consortium
NESLi2,549,consortium
NESLi2,349,consortium
NESLi2,350,consortium
NESLi2,551,consortium
NESLi2,353,consortium
NESLi2,354,consortium
NESLi2,355,consortium
NESLi2,356,consortium
NESLi2,357,consortium
NESLi2,358,consortium
NESLi2,359,consortium
NESLi2,360,consortium
NESLi2,361,consortium
NESLi2,363,consortium
NESLi2,364,consortium
NESLi2,365,consortium
NESLi2,366,consortium
NESLi2,368,consortium
NESLi2,798,consortium
NESLi2,172,consortium
NESLi2,373,consortium
NESLi2,374,consortium
NESLi2,375,consortium
NESLi2,376,consortium
NESLi2,378,consortium
NESLi2,379,consortium
NESLi2,381,consortium
NESLi2,165,consortium
NESLi2,362,consortium
NESLi2,869,consortium
NESLi2,370,consortium
NESLi2,371,consortium
NESLi2,377,consortium
NESLi2,380,consortium
NESLi2,857,consortium
NESLi2,384,consortium
NESLi2,385,consortium
NESLi2,858,consortium
NESLi2,387,consortium
NESLi2,388,consortium
NESLi2,553,consortium
NESLi2,389,consortium
NESLi2,390,consortium
NESLi2,392,consortium
NESLi2,391,consortium
NESLi2,554,consortium
NESLi2,555,consortium
NESLi2,393,consortium
NESLi2,394,consortium
NESLi2,556,consortium
NESLi2,395,consortium
NESLi2,396,consortium
NESLi2,397,consortium
NESLi2,398,consortium
NESLi2,399,consortium
NESLi2,400,consortium
NESLi2,401,consortium
NESLi2,402,consortium
NESLi2,403,consortium
NESLi2,557,consortium
NESLi2,404,consortium
NESLi2,405,consortium
NESLi2,406,consortium
NESLi2,408,consortium
NESLi2,901,consortium
NESLi2,859,consortium
NESLi2,409,consortium
NESLi2,558,consortium
NESLi2,559,consortium
NESLi2,412,consortium
NESLi2,413,consortium
NESLi2,860,consortium
NESLi2,637,consortium
NESLi2,415,consortium
NESLi2,416,consortium
NESLi2,4,consortium
NESLi2,466,consortium
NESLi2,262,consortium
NESLi2,527,consortium
NESLi2,351,consortium
NESLi2,417,consortium
NESLi2,419,consortium
NESLi2,420,consortium
NESLi2,421,consortium
NESLi2,422,consortium
NESLi2,737,consortium
NESLi2,423,consortium
NESLi2,424,consortium
NESLi2,568,consortium
NESLi2,569,consortium
NESLi2,571,consortium
NESLi2,572,consortium
NESLi2,870,consortium
NESLi2,589,consortium
NESLi2,574,consortium
NESLi2,576,consortium
NESLi2,578,consortium
NESLi2,579,consortium
NESLi2,580,consortium
NESLi2,581,consortium
NESLi2,582,consortium
NESLi2,583,consortium
NESLi2,584,consortium
NESLi2,585,consortium
NESLi2,586,consortium
NESLi2,587,consortium
NESLi2,588,consortium
NESLi2,590,consortium
NESLi2,592,consortium
NESLi2,593,consortium
NESLi2,596,consortium
NESLi2,597,consortium
NESLi2,598,consortium
NESLi2,600,consortium
NESLi2,601,consortium
NESLi2,602,consortium
NESLi2,603,consortium
NESLi2,605,consortium
NESLi2,606,consortium
NESLi2,607,consortium
NESLi2,608,consortium
NESLi2,609,consortium
NESLi2,610,consortium
NESLi2,611,consortium
NESLi2,612,consortium
NESLi2,613,consortium
NESLi2,614,consortium
NESLi2,615,consortium
NESLi2,616,consortium
NESLi2,618,consortium
NESLi2,620,consortium
NESLi2,621,consortium
NESLi2,622,consortium
NESLi2,623,consortium
NESLi2,624,consortium
NESLi2,625,consortium
NESLi2,626,consortium
NESLi2,627,consortium
NESLi2,628,consortium
NESLi2,630,consortium
NESLi2,632,consortium
NESLi2,634,consortium
NESLi2,635,consortium
NESLi2,636,consortium
NESLi2,638,consortium
NESLi2,565,consortium
NESLi2,639,consortium
NESLi2,640,consortium
NESLi2,642,consortium
NESLi2,724,consortium
NESLi2,873,consortium
NESLi2,645,consortium
NESLi2,646,consortium
NESLi2,560,consortium
NESLi2,647,consortium
NESLi2,648,consortium
NESLi2,649,consortium
NESLi2,650,consortium
NESLi2,651,consortium
NESLi2,425,consortium
NESLi2,426,consortium
NESLi2,427,consortium
NESLi2,428,consortium
NESLi2,429,consortium
NESLi2,430,consortium
NESLi2,431,consortium
NESLi2,432,consortium
NESLi2,433,consortium
NESLi2,652,consortium
NESLi2,435,consortium
NESLi2,436,consortium
NESLi2,438,consortium
NESLi2,439,consortium
NESLi2,440,consortium
NESLi2,441,consortium
NESLi2,442,consortium
NESLi2,443,consortium
NESLi2,444,consortium
NESLi2,445,consortium
NESLi2,446,consortium
NESLi2,447,consortium
NESLi2,448,consortium
NESLi2,449,consortium
NESLi2,450,consortium
NESLi2,451,consortium
NESLi2,452,consortium
NESLi2,453,consortium
NESLi2,454,consortium
NESLi2,653,consortium
NESLi2,456,consortium
NESLi2,457,consortium
NESLi2,458,consortium
NESLi2,459,consortium
NESLi2,460,consortium
NESLi2,461,consortium
NESLi2,874,consortium
NESLi2,462,consortium
NESLi2,463,consortium
SHEDL,486,consortium
SHEDL,488,consortium
SHEDL,490,consortium
SHEDL,492,consortium
SHEDL,499,consortium
SHEDL,529,consortium
SHEDL,534,consortium
SHEDL,544,consortium
SHEDL,549,consortium
SHEDL,574,consortium
SHEDL,576,consortium
SHEDL,593,consortium
SHEDL,598,consortium
SHEDL,603,consortium
SHEDL,628,consortium
SHEDL,630,consortium
SHEDL,632,consortium
SHEDL,565,consortium
SHEDL,640,consortium
WHEEL,464,consortium
WHEEL,468,consortium
WHEEL,644,consortium
WHEEL,477,consortium
WHEEL,863,consortium
WHEEL,735,consortium
WHEEL,558,consortium
WHEEL,559,consortium
WHEEL,602,consortium
WHEEL,724,consortium
WHEEL,873,consortium
WHEEL,645,consortium
