JD ID for Subcribing Institution,636,,,,,,,,,,
SO Identifier,sage_collection_2012_2012_nesli2,,,,,,,,,,
Subscription Term Start Year,2012,,,,,,,,,,
Subscription Term End Year,2012,,,,,,,,,,
included_st, publication_title,print_identifier,online_identifier,date_first_issue_subscribed,num_first_vol_subscribed,num_first_issue_subscribed,date_last_issue_subscribed,num_last_vol_subscribed,num_last_issue_subscribed,embargo_info,core_title
,Critique of Anthropology,0308-275X,1460-3721,1999-03,19,1,,,,,Y
,Cross-Cultural Research,1069-3971,1552-3578,1999-02,33,1,,,,,
,Cultural Dynamics,0921-3740,1461-7048,1999-03,11,1,,,,,
,Cultural Geographies,1474-4740,1477-0881,1999-01,6,1,,,,,Y
,Cultural Sociology,1749-9755,1749-9763,2007-03,1,1,,,,,
,Cultural Studies <=> Critical Methodologies,1532-7086,1552-356X,2001-02,1,1,,,,,
,Culture & Psychology,1354-067X,1461-7056,1999-03,5,1,,,,,
,Current Directions in Psychological Science,0963-7214,1467-8721,1999-02,8,1,,,,,Y
,Current Sociology,0011-3921,1461-7064,1999-01,47,1,,,,,Y
,Currents in Biblical Research,1476-993X,1745-5200,2002-10,1,1,,,,,
,Dementia,1471-3012,1741-2684,2002-02,1,1,,,,,
,Diabetes and Vascular Disease Research,1479-1641,1752-8984,2004-05,1,1,,,,,
,Dialogues in Human Geography,2043-8206,2043-8214,2011-03,1,1,,,,,
,Diogenes,0392-1921,1467-7695,1999-03,47,185,2010-12,57,3,,
,Discourse & Communication,1750-4813,1750-4821,2007-02,1,1,,,,,
,Discourse & Society,0957-9265,1460-3624,1999-01,10,1,,,,,
,Discourse Studies,1461-4456,1461-7080,1999-02,1,1,,,,,
,East European Politics and Societies,0888-3254,1533-8371,1999-03,13,2,,,,,Y
,Economic and Industrial Democracy,0143-831X,1461-7099,1999-02,20,1,,,,,
,Economic Development Quarterly,0891-2424,1552-3543,1999-02,13,1,,,,,
,Education and Urban Society,0013-1245,1552-3535,1999-01,31,2,,,,,
,Education Citizenship and Social Justice,1746-1979,1746-1987,2006-03,1,1,,,,,
,Educational Administration Quarterly,0013-161X,1552-3519,1999-02,35,1,,,,,
,Educational and Psychological Measurement,0013-1644,1552-3888,1999-02,59,1,,,,,
,Educational Evaluation and Policy Analysis,0162-3737,1935-1062,1999-01,21,1,,,,,
,Educational Management Administration & Leadership,1741-1432,1741-1440,1999-01,27,1,,,,,Y
,Educational Policy,0895-9048,1552-3896,1999-01,13,1,,,,,
,Educational Researcher  ,0013-189X,1935-102X,1999-01,28,1,,,,,
,Electronic News,1931-2431,1931-244X,2007-03,1,1,,,,,
,Emotion Review,1754-0739,1754-0747,2009-01,1,1,,,,,
,Environment and Behavior,0013-9165,1552-390X,1999-01,31,1,,,,,
,Environment and Urbanization,0956-2478,1746-0301,1999-04,11,1,,,,,
,Environment and Urbanization Asia,0975-4253,0975-4709,2010-03,1,1,,,,,
,Ergonomics in Design: The Quarterly of Human Factors Applications ,1064-8046,,1999-01,,,,,,,
,Ethnicities,1468-7968,1741-2706,2001-03,1,1,,,,,
,Ethnography,1466-1381,1741-2714,2000-07,1,1,,,,,
,European History Quarterly,0265-6914,1461-7110,1999-01,29,1,,,,,Y
,European Journal of Archaeology,1461-9571,1741-2722,1999-04,2,1,2010-12,13,3,,
,European Journal of Communication,0267-3231,1460-3705,1999-03,14,1,,,,,Y
,European Journal of Criminology,1477-3708,1741-2609,2004-01,1,1,,,,,
,European Journal of Cultural Studies,1367-5494,1460-3551,1999-01,2,1,,,,,Y
,European Journal of Industrial Relations,0959-6801,1461-7129,1999-03,5,1,,,,,
,European Journal of International Relations,1354-0661,1460-3713,1999-03,5,1,,,,,Y
,European Journal of Political Theory,1474-8851,1741-2730,2002-07,1,1,,,,,
,European Journal of Preventive Cardiology,1741-8267,1741-8275,1999-01,,,,,,,
,European Journal of Social Theory,1368-4310,1461-7137,1999-02,2,1,,,,,Y
,European Journal of Women's Studies,1350-5068,1461-7420,1999-02,6,1,,,,,Y
,European Physical Education Review,1356-336X,1741-2749,1999-02,5,1,,,,,
,European Union Politics,1465-1165,1741-2757,2000-02,1,1,,,,,Y
,European Urban and Regional Studies,0969-7764,1461-7145,1999-01,6,1,,,,,Y
,Evaluation,1356-3890,1461-7153,1999-01,5,1,,,,,Y
,Evaluation & the Health Professions,0163-2787,1552-3918,1999-03,22,1,,,,,
,Evaluation Review,0193-841X,1552-3926,1999-02,23,1,,,,,
,Expository Times,0014-5246,1745-5308,1999-01,110,4,,,,,
,Family Business Review,0894-4865,1741-6248,1999-03,12,1,,,,,
,Feminism & Psychology,0959-3535,1461-7161,1999-02,9,1,,,,,
,Feminist Criminology,1557-0851,1557-086X,2006-01,1,1,,,,,
,Feminist Theology,0966-7350,1745-5189,1999-01,7,20,,,,,
,Feminist Theory,1464-7001,1741-2773,2000-04,1,1,,,,,Y
