@subscriber_role:=rdv_id
12
@jusplogin :=idns_id
90
@jusp:=idns_id
87
rdv_value	core_start_year	core_end_year	id_value	id_value	tipp_id
Yes	2011	2012	1134	uea	4081
Yes	2011	2012	610	uea	4107
Yes	2011	2012	617	uea	4115
Yes	2011	2012	622	uea	4124
Yes	2011	2012	2623	uea	4144
Yes	2011	2012	2160	uea	4155
Yes	2011	2012	4310	uea	4159
Yes	2011	2012	1988	uea	4166
Yes	2011	2012	1297	uea	4204
Yes	2011	2012	688	uea	4243
Yes	2011	2012	4366	uea	4254
Yes	2011	2012	1309	uea	4277
Yes	2011	2012	1663	uea	4288
Yes	2011	2012	733	uea	4338
Yes	2011	2012	9	kcl	3076
Yes	2011	2012	14	kcl	3080
Yes	2011	2012	1311	kcl	3101
Yes	2011	2012	2943	kcl	3120
Yes	2011	2012	1295	kcl	3135
Yes	2011	2012	71	kcl	3148
Yes	2011	2012	1765	kcl	3152
Yes	2011	2012	1651	kcl	3155
Yes	2011	2012	2357	kcl	3166
Yes	2011	2012	3729	kcl	3184
Yes	2011	2012	3780	kcl	3201
Yes	2011	2012	1252	kcl	3206
Yes	2011	2012	114	kcl	3221
Yes	2011	2012	1279	kcl	3236
Yes	2011	2012	1650	kcl	3255
Yes	2011	2012	3794	kcl	3258
Yes	2011	2012	1063	kcl	3283
Yes	2011	2012	3813	kcl	3291
Yes	2011	2012	1655	kcl	3302
Yes	2011	2012	1386	kcl	3306
Yes	2011	2012	171	kcl	3308
Yes	2011	2012	2395	kcl	3322
Yes	2011	2012	2643	kcl	3381
Yes	2011	2012	209	kcl	3382
Yes	2011	2012	3565	kcl	3409
Yes	2011	2012	227	kcl	3413
Yes	2011	2012	1157	kcl	3434
Yes	2011	2012	1065	kcl	3436
Yes	2011	2012	4331	kcl	3453
Yes	2011	2012	249	kcl	3481
Yes	2011	2012	1989	kcl	3483
Yes	2011	2012	2638	kcl	3491
Yes	2011	2012	2527	kcl	3505
Yes	2011	2012	276	kcl	3514
