@issn_type_id:=idns_id
7
@eissn_type_id:=idns_id
6
@doi_type_id:=idns_id
8
@e_issn2_type_id:=idns_id
91
ti_id	ISBN	EISSN	DOI	EISSN2	tipp_coverage_note
14258	1937-6766	NULL	NULL	NULL	Absorbed
14261	0732-2895	NULL	NULL	NULL	Absorbed
14263	0544-0750	NULL	NULL	NULL	Absorbed
14265	0190-6348	NULL	NULL	NULL	Absorbed
14269	1948-0938	NULL	NULL	NULL	Absorbed
14270	1948-0911	NULL	NULL	NULL	Absorbed
14271	1939-9952	NULL	NULL	NULL	Absorbed
14273	0899-0344	NULL	NULL	NULL	Absorbed
14275	0097-8523	NULL	NULL	NULL	Absorbed
14277	1945-7863	NULL	NULL	NULL	Absorbed
14278	1939-053X	NULL	NULL	NULL	Absorbed
14279	0029-4500	NULL	NULL	NULL	Absorbed
14280	1948-092X	NULL	NULL	NULL	Absorbed
14281	0195-914X	NULL	NULL	NULL	Absorbed
14284	0889-065X	NULL	NULL	NULL	Absorbed
14286	0076-4981	NULL	NULL	NULL	Absorbed
14287	0361-6258	NULL	NULL	NULL	Absorbed
14289	0080-4460	NULL	NULL	NULL	Absorbed
14290	0897-9049	NULL	NULL	NULL	Absorbed
14294	0996-2727	NULL	NULL	NULL	Absorbed
14295	0996-2743	NULL	NULL	NULL	Absorbed
14299	0148-7825	NULL	NULL	NULL	Absorbed
14302	0039-3797	NULL	NULL	NULL	Absorbed
14303	1940-0969	NULL	NULL	NULL	Absorbed
14307	0049-6189	NULL	NULL	NULL	Absorbed
14312	0044-2216	NULL	NULL	NULL	Absorbed
14315	0896-3789	NULL	NULL	NULL	Absorbed
14316	1079-5545	NULL	NULL	NULL	Absorbed
14318	0162-8003	NULL	NULL	NULL	Absorbed
14319	2154-8382	NULL	NULL	NULL	Absorbed
14320	2154-8390	NULL	NULL	NULL	Absorbed
14321	2155-7799	NULL	NULL	NULL	Absorbed
14322	2154-8420	NULL	NULL	NULL	Absorbed
14323	2155-7802	NULL	NULL	NULL	Absorbed
14325	0364-4006	NULL	NULL	NULL	Absorbed
14326	2159-5062	NULL	NULL	NULL	Absorbed
14327	2159-5089	NULL	NULL	NULL	Absorbed
14328	2159-5070	NULL	NULL	NULL	Absorbed
14336	1940-882X	NULL	NULL	NULL	Absorbed
14337	0766-7736	NULL	NULL	NULL	Absorbed
14341	1043-1691	NULL	NULL	NULL	Absorbed
14343	0003-9659	NULL	NULL	NULL	Absorbed
14344	0571-2211	NULL	NULL	NULL	Absorbed
14345	0005-0091	NULL	NULL	NULL	Absorbed
14346	0305-8026	NULL	NULL	NULL	Absorbed
14348	1093-3514	NULL	NULL	NULL	Absorbed
14349	2044-3986	NULL	NULL	NULL	Absorbed
14350	0364-4049	NULL	NULL	NULL	Absorbed
14353	0008-0160	NULL	NULL	NULL	Absorbed
14356	0098-809X	NULL	NULL	NULL	Absorbed
14357	0363-6291	NULL	NULL	NULL	Absorbed
14360	0959-5376	NULL	NULL	NULL	Absorbed
14361	0010-4817	NULL	NULL	NULL	Absorbed
14362	0884-0709	NULL	NULL	NULL	Absorbed
14369	0046-2756	NULL	NULL	NULL	Absorbed
14370	1938-9779	NULL	NULL	NULL	Absorbed
14373	0766-7752	NULL	NULL	NULL	Absorbed
14375	0016-8289	NULL	NULL	NULL	Absorbed
14381	1945-8630	NULL	NULL	NULL	Absorbed
14382	0019-3089	NULL	NULL	NULL	Absorbed
14387	0730-5079	NULL	NULL	NULL	Absorbed
14388	0731-3667	NULL	NULL	NULL	Absorbed
14390	0022-0604	NULL	NULL	NULL	Absorbed
14394	0148-8937	NULL	NULL	NULL	Absorbed
14395	0022-2259	NULL	NULL	NULL	Absorbed
14396	0275-3650	NULL	NULL	NULL	Absorbed
14397	0090-8894	NULL	NULL	NULL	Absorbed
14398	0748-6766	NULL	NULL	NULL	Absorbed
14399	0146-1052	NULL	NULL	NULL	Absorbed
14402	1068-3380	NULL	NULL	NULL	Absorbed
14403	0022-4103	NULL	NULL	NULL	Absorbed
14406	1947-3850	NULL	NULL	NULL	Absorbed
14407	1947-3877	NULL	NULL	NULL	Absorbed
14408	1947-3869	NULL	NULL	NULL	Absorbed
14409	1947-3885	NULL	NULL	NULL	Absorbed
14410	0023-9445	NULL	NULL	NULL	Absorbed
14414	0766-7744	NULL	NULL	NULL	Absorbed
14415	1944-0995	NULL	NULL	NULL	Absorbed
14418	1149-9931	NULL	NULL	NULL	Absorbed
14421	1941-9716	NULL	NULL	NULL	Absorbed
14424	0272-5061	NULL	NULL	NULL	Absorbed
14425	0272-5045	NULL	NULL	NULL	Absorbed
14426	0272-5053	NULL	NULL	NULL	Absorbed
14428	0154-9960	NULL	NULL	NULL	Absorbed
14429	0034-3005	NULL	NULL	NULL	Absorbed
14433	0034-9429	NULL	NULL	NULL	Absorbed
14436	0573-3561	NULL	NULL	NULL	Absorbed
14438	0743-9245	NULL	NULL	NULL	Absorbed
14440	0863-5781	NULL	NULL	NULL	Absorbed
14445	0363-1133	NULL	NULL	NULL	Absorbed
14449	0932-1314	NULL	NULL	NULL	Absorbed
14451	0932-1322	NULL	NULL	NULL	Absorbed
14452	0932-3988	NULL	NULL	NULL	Absorbed
14453	0044-3646	NULL	NULL	NULL	Absorbed
14454	0937-2229	NULL	NULL	NULL	Absorbed
14455	0937-2679	NULL	NULL	NULL	Absorbed
14457	0001-026X	NULL	NULL	NULL	Absorbed
14461	2078-807X	NULL	NULL	NULL	Absorbed
14464	2152-8551	NULL	NULL	NULL	Absorbed
14467	1944-0227	NULL	NULL	NULL	Absorbed
14469	0002-9823	NULL	NULL	NULL	Absorbed
14473	0270-6334	NULL	NULL	NULL	Absorbed
14474	0145-2363	NULL	NULL	NULL	Absorbed
14479	2151-2531	NULL	NULL	NULL	Absorbed
14487	0890-4944	NULL	NULL	NULL	Absorbed
14489	0885-727X	NULL	NULL	NULL	Absorbed
14491	0001-2890	NULL	NULL	NULL	Absorbed
14493	0090-4155	NULL	NULL	NULL	Absorbed
14498	2156-8928	NULL	NULL	NULL	Absorbed
14500	0996-0996	NULL	NULL	NULL	Absorbed
14501	0739-5639	NULL	NULL	NULL	Absorbed
14503	0883-1610	NULL	NULL	NULL	Absorbed
14504	0898-1922	NULL	NULL	NULL	Absorbed
14505	0364-8141	NULL	NULL	NULL	Absorbed
14508	0165-9510	NULL	NULL	NULL	Absorbed
14509	2158-0057	NULL	NULL	NULL	Absorbed
14510	0980-1626	NULL	NULL	NULL	Absorbed
14512	1245-9151	NULL	NULL	NULL	Absorbed
14513	1015-5775	NULL	NULL	NULL	Absorbed
14514	0095-9367	NULL	NULL	NULL	Absorbed
14517	2152-6907	NULL	NULL	NULL	Absorbed
14521	0010-7557	NULL	NULL	NULL	Absorbed
14526	0148-5806	NULL	NULL	NULL	Absorbed
14531	2161-2501	NULL	NULL	NULL	Absorbed
14532	2161-248X	NULL	NULL	NULL	Absorbed
14542	0890-9997	NULL	NULL	NULL	Absorbed
14543	0073-2672	NULL	NULL	NULL	Absorbed
14545	0151-1807	NULL	NULL	NULL	Absorbed
14546	0748-8149	NULL	NULL	NULL	Absorbed
14547	2152-856X	NULL	NULL	NULL	Absorbed
14551	0147-2259	NULL	NULL	NULL	Absorbed
14553	0196-903X	NULL	NULL	NULL	Absorbed
14555	1230-3240	NULL	NULL	NULL	Absorbed
14558	0364-2968	NULL	NULL	NULL	Absorbed
14560	0162-2641	NULL	NULL	NULL	Absorbed
14561	0022-2925	NULL	NULL	NULL	Absorbed
14562	1059-8529	NULL	NULL	NULL	Absorbed
14564	0092-1807	NULL	NULL	NULL	Absorbed
14565	0019-2287	NULL	NULL	NULL	Absorbed
14569	2150-5977	NULL	NULL	NULL	Absorbed
14570	0025-0503	NULL	NULL	NULL	Absorbed
14580	0164-3177	NULL	NULL	NULL	Absorbed
14581	0736-2579	NULL	NULL	NULL	Absorbed
14583	2157-1139	NULL	NULL	NULL	Absorbed
14584	0703-5500	NULL	NULL	NULL	Absorbed
14585	2078-8061	NULL	NULL	NULL	Absorbed
14586	2042-0005	NULL	NULL	NULL	Absorbed
14587	0294-1414	NULL	NULL	NULL	Absorbed
14593	2153-3857	NULL	NULL	NULL	Absorbed
14595	2156-5902	NULL	NULL	NULL	Absorbed
14598	2151-1705	NULL	NULL	NULL	Absorbed
14599	2153-1706	NULL	NULL	NULL	Absorbed
14600	1948-3325	NULL	NULL	NULL	Absorbed
14601	8755-3627	NULL	NULL	NULL	Absorbed
14604	0160-3256	NULL	NULL	NULL	Absorbed
14605	0160-3221	NULL	NULL	NULL	Absorbed
14607	1137-2249	NULL	NULL	NULL	Absorbed
14611	0035-2314	NULL	NULL	NULL	Absorbed
14612	0755-1584	NULL	NULL	NULL	Absorbed
14618	0739-4365	NULL	NULL	NULL	Absorbed
14623	2042-0013	NULL	NULL	NULL	Absorbed
14625	0037-3354	NULL	NULL	NULL	Absorbed
14630	2158-7957	NULL	NULL	NULL	Absorbed
14632	0364-8656	NULL	NULL	NULL	Absorbed
14633	0736-3974	NULL	NULL	NULL	Absorbed
14635	2152-615X	NULL	NULL	NULL	Absorbed
14636	2158-7973	NULL	NULL	NULL	Absorbed
14637	0361-6223	NULL	NULL	NULL	Absorbed
14640	0360-3180	NULL	NULL	NULL	Absorbed
14642	1619-6627	NULL	NULL	NULL	Absorbed
14645	1619-7097	NULL	NULL	NULL	Absorbed
14646	0193-1806	NULL	NULL	NULL	Absorbed
14647	0019-0209	NULL	NULL	NULL	Absorbed
14649	1065-9048	NULL	NULL	NULL	Absorbed
14650	0071-8343	NULL	NULL	NULL	Absorbed
14653	0284-7310	NULL	NULL	NULL	Absorbed
14654	1439-3972	NULL	NULL	NULL	Absorbed
14655	0019-1833	NULL	NULL	NULL	Absorbed
14656	1071-1031	NULL	NULL	NULL	Absorbed
14657	1548-9000	NULL	NULL	NULL	Absorbed
14661	0190-9509	NULL	NULL	NULL	Absorbed
14663	0191-9016	NULL	NULL	NULL	Absorbed
14667	0039-7318	NULL	NULL	NULL	Absorbed
14674	0886-1005	NULL	NULL	NULL	Absorbed
14675	0391-4674	NULL	NULL	NULL	Absorbed
14676	2046-164X	NULL	NULL	NULL	Absorbed
14677	2046-1658	NULL	NULL	NULL	Absorbed
14678	0866-6865	NULL	NULL	NULL	Absorbed
14679	2033-642X	NULL	NULL	NULL	Absorbed
14680	1373-9719	NULL	NULL	NULL	Absorbed
14681	2033-6411	NULL	NULL	NULL	Absorbed
14685	0185-0148	NULL	NULL	NULL	Absorbed
14686	2154-2945	NULL	NULL	NULL	Absorbed
14687	0422-3012	NULL	NULL	NULL	Absorbed
14688	0139-4045	NULL	NULL	NULL	Absorbed
14692	0393-456X	NULL	NULL	NULL	Absorbed
14694	1125-2855	NULL	NULL	NULL	Absorbed
14696	1125-2863	NULL	NULL	NULL	Absorbed
14701	0012-8783	NULL	NULL	NULL	Absorbed
14703	0075-2770	NULL	NULL	NULL	Absorbed
14711	2153-4519	NULL	NULL	NULL	Absorbed
14713	2046-1666	NULL	NULL	NULL	Absorbed
14714	2046-1674	NULL	NULL	NULL	Absorbed
14715	0942-8771	NULL	NULL	NULL	Absorbed
14716	0025-181X	NULL	NULL	NULL	Absorbed
14717	0160-6557	NULL	NULL	NULL	Absorbed
14721	0377-3191	NULL	NULL	NULL	Absorbed
14722	0747-5535	NULL	NULL	NULL	Absorbed
14726	1061-2009	NULL	NULL	NULL	Absorbed
14729	0147-8168	NULL	NULL	NULL	Absorbed
14730	0038-5263	NULL	NULL	NULL	Absorbed
14731	1218-9383	NULL	NULL	NULL	Absorbed
14732	0041-0616	NULL	NULL	NULL	Absorbed
14733	0071-3686	NULL	NULL	NULL	Absorbed
14735	0042-5699	NULL	NULL	NULL	Absorbed
14737	0043-2636	NULL	NULL	NULL	Absorbed
14738	0162-1912	NULL	NULL	NULL	Absorbed
14739	0044-2550	NULL	NULL	NULL	Absorbed
14741	1619-6104	NULL	NULL	NULL	Absorbed
14745	0967-9952	NULL	NULL	NULL	Absorbed
14746	1529-4560	NULL	NULL	NULL	Absorbed
14747	0006-8071	NULL	NULL	NULL	Absorbed
14748	0040-9618	NULL	NULL	NULL	Absorbed
14749	0960-7447	NULL	NULL	NULL	Absorbed
14751	0271-6844	NULL	NULL	NULL	Absorbed
14754	0039-7989	NULL	NULL	NULL	Absorbed
14755	0096-3844	NULL	NULL	NULL	Absorbed
14756	0365-0855	NULL	NULL	NULL	Absorbed
14757	0365-5695	NULL	NULL	NULL	Absorbed
14760	2041-9996	NULL	NULL	NULL	Absorbed
14762	0007-1072	NULL	NULL	NULL	Absorbed
14763	0007-1242	NULL	NULL	NULL	Absorbed
14764	0366-0842	NULL	NULL	NULL	Absorbed
14765	0007-1447	NULL	NULL	NULL	Absorbed
14766	0267-0623	NULL	NULL	NULL	Absorbed
14769	0142-467X	NULL	NULL	NULL	Absorbed
14770	0195-9417	NULL	NULL	NULL	Absorbed
14772	0141-7681	NULL	NULL	NULL	Absorbed
14773	2041-9988	NULL	NULL	NULL	Absorbed
14774	0370-2316	NULL	NULL	NULL	Absorbed
14775	0260-7085	NULL	NULL	NULL	Absorbed
14776	0261-0523	NULL	NULL	NULL	Absorbed
14777	0264-3820	NULL	NULL	NULL	Absorbed
14778	0264-3839	NULL	NULL	NULL	Absorbed
14779	0264-3952	NULL	NULL	NULL	Absorbed
14780	0080-4614	NULL	NULL	NULL	Absorbed
14781	0080-4622	NULL	NULL	NULL	Absorbed
14782	0264-3960	NULL	NULL	NULL	Absorbed
14785	0962-8428	NULL	NULL	NULL	Absorbed
14787	0370-1662	NULL	NULL	NULL	Absorbed
14788	0950-1207	NULL	NULL	NULL	Absorbed
14789	0080-4630	NULL	NULL	NULL	Absorbed
14790	0080-4649	NULL	NULL	NULL	Absorbed
14791	0950-1193	NULL	NULL	NULL	Absorbed
14793	0962-8444	NULL	NULL	NULL	Absorbed
14795	2041-9953	NULL	NULL	NULL	Absorbed
14796	2041-997X	NULL	NULL	NULL	Absorbed
14797	2041-9961	NULL	NULL	NULL	Absorbed
14798	0162-0886	NULL	NULL	NULL	Absorbed
14800	0096-4018	NULL	NULL	NULL	Absorbed
14801	0096-3771	NULL	NULL	NULL	Absorbed
14802	0096-977X	NULL	NULL	NULL	Absorbed
14805	0004-136X	NULL	NULL	NULL	Absorbed
14808	0749-2189	NULL	NULL	NULL	Absorbed
14815	1935-5912	NULL	NULL	NULL	Absorbed
14816	0373-1138	NULL	NULL	NULL	Absorbed
14817	0036-4452	NULL	NULL	NULL	Absorbed
14818	0972-7671	NULL	NULL	NULL	Absorbed
14819	0581-572X	NULL	NULL	NULL	Absorbed
14820	0581-5738	NULL	NULL	NULL	Absorbed
14823	0438-895X	NULL	NULL	NULL	Absorbed
14827	2047-234X	NULL	NULL	NULL	Absorbed
14828	2193-9063	NULL	NULL	NULL	Absorbed
14835	0148-7663	NULL	NULL	NULL	Absorbed
14839	2047-2331	NULL	NULL	NULL	Absorbed
14840	0962-9688	NULL	NULL	NULL	Absorbed
14841	2161-5403	NULL	NULL	NULL	Absorbed
14845	0245-906X	NULL	NULL	NULL	Absorbed
14846	0245-9078	NULL	NULL	NULL	Absorbed
14847	0245-9086	NULL	NULL	NULL	Absorbed
14848	0245-9094	NULL	NULL	NULL	Absorbed
14849	0245-9108	NULL	NULL	NULL	Absorbed
14850	0245-9051	NULL	NULL	NULL	Absorbed
14855	2191-3870	NULL	NULL	NULL	Absorbed
14860	0316-8565	NULL	NULL	NULL	Absorbed
14862	2051-0780	NULL	NULL	NULL	Absorbed
14863	0886-0505	NULL	NULL	NULL	Absorbed
14866	1210-3861	NULL	NULL	NULL	Absorbed
14867	1804-9478	NULL	NULL	NULL	Absorbed
14868	0259-0883	NULL	NULL	NULL	Absorbed
14869	0340-6911	NULL	NULL	NULL	Absorbed
14871	0013-5968	NULL	NULL	NULL	Absorbed
14872	0888-1030	NULL	NULL	NULL	Absorbed
14892	2278-2141	NULL	NULL	NULL	Absorbed
14896	0022-0612	NULL	NULL	NULL	Absorbed
14897	0160-4198	NULL	NULL	NULL	Absorbed
14899	0732-1910	NULL	NULL	NULL	Absorbed
14902	0022-8648	NULL	NULL	NULL	Absorbed
14903	8756-2995	NULL	NULL	NULL	Absorbed
14907	0147-3700	NULL	NULL	NULL	Absorbed
14909	0272-9679	NULL	NULL	NULL	Absorbed
14910	0026-0150	NULL	NULL	NULL	Absorbed
14912	0732-913X	NULL	NULL	NULL	Absorbed
14918	0028-0747	NULL	NULL	NULL	Absorbed
14919	1383-2336	NULL	NULL	NULL	Absorbed
14920	2159-6018	NULL	NULL	NULL	Absorbed
14922	2159-6603	NULL	NULL	NULL	Absorbed
14927	0172-8776	NULL	NULL	NULL	Absorbed
14928	0090-0095	NULL	NULL	NULL	Absorbed
14933	1075-8925	NULL	NULL	NULL	Absorbed
14936	1125-9868	NULL	NULL	NULL	Absorbed
14938	1045-0785	NULL	NULL	NULL	Absorbed
14945	0340-692X	NULL	NULL	NULL	Absorbed
14947	2191-3889	NULL	NULL	NULL	Absorbed
14948	0365-2610	NULL	NULL	NULL	Absorbed
14952	0932-321X	NULL	NULL	NULL	Absorbed
14953	2154-6312	NULL	NULL	NULL	Absorbed
14954	0892-9904	NULL	NULL	NULL	Absorbed
14955	0096-7645	NULL	NULL	NULL	Absorbed
14956	0301-0325	NULL	NULL	NULL	Absorbed
14957	0003-1569	NULL	NULL	NULL	Absorbed
14958	0004-0851	NULL	NULL	NULL	Absorbed
14959	1936-0614	NULL	NULL	NULL	Absorbed
14963	0006-3630	NULL	NULL	NULL	Absorbed
14964	0374-6062	NULL	NULL	NULL	Absorbed
14965	0037-9557	NULL	NULL	NULL	Absorbed
14966	0374-6313	NULL	NULL	NULL	Absorbed
14967	0303-9153	NULL	NULL	NULL	Absorbed
14968	0366-4457	NULL	NULL	NULL	Absorbed
14969	1553-1031	NULL	NULL	NULL	Absorbed
14971	0587-1433	NULL	NULL	NULL	Absorbed
14972	0009-3262	NULL	NULL	NULL	Absorbed
14974	0738-6028	NULL	NULL	NULL	Absorbed
14978	0160-8347	NULL	NULL	NULL	Absorbed
14980	1930-4013	NULL	NULL	NULL	Absorbed
14981	0015-5551	NULL	NULL	NULL	Absorbed
14982	0738-2189	NULL	NULL	NULL	Absorbed
14984	0105-9327	NULL	NULL	NULL	Absorbed
14985	0073-5655	NULL	NULL	NULL	Absorbed
14986	0883-8364	NULL	NULL	NULL	Absorbed
14987	0043-1303	NULL	NULL	NULL	Absorbed
14988	0095-9901	NULL	NULL	NULL	Absorbed
14989	1052-0368	NULL	NULL	NULL	Absorbed
14990	0022-409X	NULL	NULL	NULL	Absorbed
14991	0004-1378	NULL	NULL	NULL	Absorbed
14993	1044-8314	NULL	NULL	NULL	Absorbed
14995	0473-9868	NULL	NULL	NULL	Absorbed
14996	1936-8909	NULL	NULL	NULL	Absorbed
14997	1938-6796	NULL	NULL	NULL	Absorbed
14998	0093-4526	NULL	NULL	NULL	Absorbed
15000	1063-3626	NULL	NULL	NULL	Absorbed
15003	1050-0960	NULL	NULL	NULL	Absorbed
15004	0374-8960	NULL	NULL	NULL	Absorbed
15005	0027-3716	NULL	NULL	NULL	Absorbed
15007	1949-4637	NULL	NULL	NULL	Absorbed
15008	0258-1485	NULL	NULL	NULL	Absorbed
15009	1949-4629	NULL	NULL	NULL	Absorbed
15010	0030-5693	NULL	NULL	NULL	Absorbed
15011	1938-6753	NULL	NULL	NULL	Absorbed
15014	0031-935X	NULL	NULL	NULL	Absorbed
15017	1060-2682	NULL	NULL	NULL	Absorbed
15018	1060-1805	NULL	NULL	NULL	Absorbed
15019	0270-1316	NULL	NULL	NULL	Absorbed
15020	1936-0606	NULL	NULL	NULL	Absorbed
15021	1556-5785	NULL	NULL	NULL	Absorbed
15023	1047-7624	NULL	NULL	NULL	Absorbed
15024	1938-677X	NULL	NULL	NULL	Absorbed
15025	0096-364X	NULL	NULL	NULL	Absorbed
15026	0096-9362	NULL	NULL	NULL	Absorbed
15030	0886-1145	NULL	NULL	NULL	Absorbed
15031	1945-516X	NULL	NULL	NULL	Absorbed
15032	0003-0023	NULL	NULL	NULL	Absorbed
15033	1933-0545	NULL	NULL	NULL	Absorbed
15034	1933-0537	NULL	NULL	NULL	Absorbed
15035	1557-122X	NULL	NULL	NULL	Absorbed
15036	0042-3106	NULL	NULL	NULL	Absorbed
15038	0096-719X	NULL	NULL	NULL	Absorbed
15040	0511-9626	NULL	NULL	NULL	Absorbed
15041	0043-5643	NULL	NULL	NULL	Absorbed
15042	1938-6788	NULL	NULL	NULL	Absorbed
15043	0898-1051	NULL	NULL	NULL	Absorbed
15044	0534-2759	NULL	NULL	NULL	Merged with Proceedings of the Institution of Civil Engineers Part II and Part III to form Proceedings - Institution of Civil Engineers (Proceedings of the Institution of Civil Engineers Part III is not included in license)
15045	0020-3262	NULL	NULL	NULL	Form from the merge of Proceedings of the Institution of Civil Engineers Part I, Part II and Part III.  (Proceedings of the Institution of Civil Engineers. Part III is not included in license). Split in Proceedings - Institution of Civil Engineers Part 1 and Part 2
15046	0307-8353	NULL	NULL	NULL	Form from the split of Proceedings - Institution of Civil Engineers
15047	0307-8361	NULL	NULL	NULL	Form from the split of Proceedings - Institution of Civil Engineers
15048	0398-8120	NULL	NULL	NULL	Absorbed
15049	1934-5984	NULL	NULL	NULL	Absorbed
15051	0360-6333	NULL	NULL	NULL	Absorbed
15055	0362-515X	NULL	NULL	NULL	Absorbed
15056	0934-9138	NULL	NULL	NULL	Absorbed
15057	0934-5795	NULL	NULL	NULL	Absorbed
15058	1933-2505	NULL	NULL	NULL	Absorbed
15061	1935-6609	NULL	NULL	NULL	Absorbed
15064	0006-0895	NULL	NULL	NULL	Absorbed
15068	0398-8147	NULL	NULL	NULL	Absorbed
15070	0276-7732	NULL	NULL	NULL	Absorbed
15073	1935-6595	NULL	NULL	NULL	Absorbed
15075	0891-3609	NULL	NULL	NULL	Absorbed
15077	1935-6625	NULL	NULL	NULL	Absorbed
15082	0968-2864	NULL	NULL	NULL	Absorbed
15086	0093-3252	NULL	NULL	NULL	Absorbed
15088	0090-2918	NULL	NULL	NULL	Absorbed
15091	0309-2984	NULL	NULL	NULL	Absorbed
15092	0083-1204	NULL	NULL	NULL	Absorbed
15093	1935-0708	NULL	NULL	NULL	Absorbed
15098	0047-1607	NULL	NULL	NULL	Absorbed
15100	1431-5955	NULL	NULL	NULL	Absorbed
15101	0934-618X	NULL	NULL	NULL	Absorbed
15105	1752-6795	NULL	NULL	NULL	Absorbed
15110	1948-1586	NULL	NULL	NULL	Absorbed
15111	2047-119X	NULL	NULL	NULL	Absorbed
15112	2047-1211	NULL	NULL	NULL	Absorbed
15114	2047-1203	NULL	NULL	NULL	Absorbed
15116	0734-7030	NULL	NULL	NULL	Absorbed
15117	2151-7576	NULL	NULL	NULL	Absorbed
15118	1935-6684	NULL	NULL	NULL	Absorbed
15119	1479-571X	NULL	NULL	NULL	Absorbed
15122	0030-8919	NULL	NULL	NULL	Absorbed
15123	0887-9885	NULL	NULL	NULL	Absorbed
15124	0899-059X	NULL	NULL	NULL	Absorbed
15127	0265-8062	NULL	NULL	NULL	Absorbed
15128	0887-3925	NULL	NULL	NULL	Absorbed
15131	1548-7237	NULL	NULL	NULL	Absorbed
15132	0199-9818	NULL	NULL	NULL	Absorbed
15134	0094-6214	NULL	NULL	NULL	Absorbed
15138	0899-0603	NULL	NULL	NULL	Absorbed
15146	1471-7816	NULL	NULL	NULL	Absorbed
15149	0038-0210	NULL	NULL	NULL	Absorbed
15152	0038-4801	NULL	NULL	NULL	Absorbed
15160	0083-6133	NULL	NULL	NULL	Absorbed
15165	0006-8098	NULL	NULL	NULL	Merged: Occasional Papers of the Farlow Herbarium of Cryptogamic Botany , 1969-1987 (Nos. 1-19) and Contributions from the Gray Herbarium of Harvard University , 1891-1984 (Nos. 1-214) to form Harvard Papers in Botany , 1989-2007 (Vols. 1-12)
15166	0195-6094	NULL	NULL	NULL	Merged: Occasional Papers of the Farlow Herbarium of Cryptogamic Botany , 1969-1987 (Nos. 1-19) and Botanical Museum Leaflets, Harvard University , 1932-1986 (Vols. 1-30) to form Harvard Papers in Botany , 1989-2007 (Vols. 1-12)
15169	0090-8754	NULL	NULL	NULL	Merged: Contributions from the Gray Herbarium of Harvard University , 1891-1984 (Nos. 1-214) and Botanical Museum Leaflets, Harvard University , 1932-1986 (Vols. 1-30) to form Harvard Papers in Botany , 1989-2007 (Vols. 1-12)
15171	0017-3614	NULL	NULL	NULL	Absorbed
15178	0138-4988	NULL	10.1002/(ISSN)1521-3846	NULL	merged: Engineering in Life Sciences
15179	0256-7660	NULL	NULL	NULL	now: Chinese Journal of Chemistry
15180	0001-544X	NULL	10.1002/(ISSN)1563-2563	NULL	now: European Surgery
15181	0365-110X	NULL	10.1111/(ISSN)0365-110X	NULL	split: sections A+B
15183	0001-6101	NULL	NULL	NULL	now: Journal of internal Medicine 1989-present; previously: Acta Medica Scandinavica 1919-1988; Nordiskt Medicinskt Arkiv 1869-1918; Medicinskt Archiv 1863-1868
15184	0001-639X	NULL	NULL	NULL	now: Acta Ophthalmologica; previously: Acta Ophthalmologica Scandinavica 1995-2007; Acta Ophthalmologica 1923-1994
15185	0365-5555	NULL	NULL	NULL	now: APMIS 1988-present; previously: split in series A-C 1982-1987; sections A-C 1970-1981; Acta Pathologica Microbiologica 1924-1969
15186	0365-4184	NULL	NULL	NULL	now: APMIS 1988-present; previously: split in series A-C 1982-1987; sections A-C 1970-1981; Acta Pathologica Microbiologica 1924-1969
15187	0304-131X	NULL	NULL	NULL	now: APMIS 1988-present; previously: split in series A-C 1982-1987; sections A-C 1970-1981; Acta Pathologica Microbiologica 1924-1969
15188	0365-5563	NULL	NULL	NULL	now: APMIS 1988-present; previously: split in series A-C 1982-1987; sections A-C 1970-1981; Acta Pathologica Microbiologica 1924-1969
15189	0304-1328	NULL	NULL	NULL	now: APMIS 1988-present; previously: split in series A-C 1982-1987; sections A-C 1970-1981; Acta Pathologica Microbiologica 1924-1969
15190	0108-0164	NULL	NULL	NULL	now: APMIS 1988-present; previously: split in series A-C 1982-1987; sections A-C 1970-1981; Acta Pathologica Microbiologica 1924-1969
15191	0108-0180	NULL	NULL	NULL	now: APMIS 1988-present; previously: split in series A-C 1982-1987; sections A-C 1970-1981; Acta Pathologica Microbiologica 1924-1969
15192	0108-0202	NULL	NULL	NULL	now: APMIS 1988-present; previously: split in series A-C 1982-1987; sections A-C 1970-1981; Acta Pathologica Microbiologica 1924-1969
15193	0001-6683	NULL	NULL	NULL	now: Basic and Clinical Pharmacology and Toxicology; previously: Pharmacology and Toxicology 1987-2004; Acta Pharmacologica et Toxicologica 1945-1986
15200	0096-946X	NULL	NULL	NULL	now: Journal of the American Society for Information Science and Technology previously: Journal of the American Society for Information Science 1970-2000; American Documentation 1950-1969
15202	0002-9106	NULL	NULL	NULL	now: Developmental Dynamics
15203	0271-7352	NULL	NULL	NULL	now: American Journal of Reproductive Immunology 1989-present; previously American Journal of Reproductive Immunology and Microbiology 1985-1988; American Journal of Reproductive Immunology 1980-1984
15204	8755-8920	NULL	NULL	NULL	now: American Journal of Reproductive Immunology 1989-present; previously American Journal of Reproductive Immunology and Microbiology 1985-1988; American Journal of Reproductive Immunology 1980-1984
15206	0365-5490	NULL	NULL	NULL	now: European Journal of Organic Chemistry 1998-present; previously: Liegbigs Annalen  1994-1997; Liebigs Annalen der Chemie 1979-1994; Justus Liebigs Annalen der Chemie 1840-1978; Annalen der Pharmacie 1832-1839
15208	2050-1420	NULL	NULL	NULL	now: Annals of Human Genetics
15209	0890-6564	NULL	NULL	NULL	now: Annals of the New York Academy of Sciences
15210	0193-5615	NULL	NULL	NULL	now: Anthropology and Humanism
